"latitude","longitude","date","species","url","reference","n","location","depth","notes","source"
-12.746667,48.176666,1971-03-05,"","https://www.gbif.org/occurrence/1019684608","Dataset: NA",1,"Madagascar",566.5,"orig_name: Bathynomus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: MNHN | catalog: 2013-6395","GBIF"
-12.795,48.213333,1971-03-05,"Bathynomus crosnieri","https://www.gbif.org/occurrence/1019684861","Dataset: NA",1,"Madagascar",439.5,"orig_name: Bathynomus crosnieri Lowry & Dempsey, 2006 | basis: PRESERVED_SPECIMEN | institution: MNHN | catalog: 2013-6415","GBIF"
-12.746667,48.176666,1971-03-05,"","https://www.gbif.org/occurrence/1019685052","Dataset: NA",1,"Madagascar",566.5,"orig_name: Bathynomus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: MNHN | catalog: 2013-6387","GBIF"
-12.746667,48.176666,1971-03-05,"","https://www.gbif.org/occurrence/1019685064","Dataset: NA",1,"Madagascar",566.5,"orig_name: Bathynomus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: MNHN | catalog: 2013-6388","GBIF"
-12.746667,48.176666,1971-03-05,"","https://www.gbif.org/occurrence/1019685075","Dataset: NA",1,"Madagascar",566.5,"orig_name: Bathynomus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: MNHN | catalog: 2013-6389","GBIF"
-12.746667,48.176666,1971-03-05,"","https://www.gbif.org/occurrence/1019685108","Dataset: NA",1,"Madagascar",566.5,"orig_name: Bathynomus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: MNHN | catalog: 2013-6390","GBIF"
-12.746667,48.176666,1971-03-05,"","https://www.gbif.org/occurrence/1019685123","Dataset: NA",1,"Madagascar",566.5,"orig_name: Bathynomus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: MNHN | catalog: 2013-6391","GBIF"
-12.746667,48.176666,1971-03-05,"","https://www.gbif.org/occurrence/1019685142","Dataset: NA",1,"Madagascar",566.5,"orig_name: Bathynomus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: MNHN | catalog: 2013-6392","GBIF"
-33.708332,151.9,1971-04-20,"Bathynomus kapala","https://www.gbif.org/occurrence/1100749379","Dataset: NA",1,"Australia",NA,"orig_name: Bathynomus kapala Griffin, 1975 | basis: PRESERVED_SPECIMEN | institution: AM | catalog: P.17948","GBIF"
-33.641666,152.01666,1971-04-21,"Bathynomus kapala","https://www.gbif.org/occurrence/1100749436","Dataset: NA",1,"Australia",NA,"orig_name: Bathynomus kapala Griffin, 1975 | basis: PRESERVED_SPECIMEN | institution: AM | catalog: P.18086","GBIF"
-32.808334,152.73334,1971-05-07,"Bathynomus kapala","https://www.gbif.org/occurrence/1100749356","Dataset: NA",1,"Australia",NA,"orig_name: Bathynomus kapala Griffin, 1975 | basis: PRESERVED_SPECIMEN | institution: AM | catalog: P.17949","GBIF"
-34.266666,151.43333,1971-06-28,"Bathynomus kapala","https://www.gbif.org/occurrence/1100749323","Dataset: NA",1,"Australia",NA,"orig_name: Bathynomus kapala Griffin, 1975 | basis: PRESERVED_SPECIMEN | institution: AM | catalog: P.17951","GBIF"
-34.441666,151.30833,1971-07-06,"Bathynomus kapala","https://www.gbif.org/occurrence/1100749374","Dataset: NA",1,"Australia",NA,"orig_name: Bathynomus kapala Griffin, 1975 | basis: PRESERVED_SPECIMEN | institution: AM | catalog: P.17947","GBIF"
-33.625,151.94167,1971-07-14,"Bathynomus kapala","https://www.gbif.org/occurrence/1100749401","Dataset: NA",1,"Australia",NA,"orig_name: Bathynomus kapala Griffin, 1975 | basis: PRESERVED_SPECIMEN | institution: AM | catalog: P.17954","GBIF"
-35.566666,150.725,1971-07-08,"Bathynomus kapala","https://www.gbif.org/occurrence/1100749404","Dataset: NA",1,"Australia",NA,"orig_name: Bathynomus kapala Griffin, 1975 | basis: PRESERVED_SPECIMEN | institution: AM | catalog: P.17953","GBIF"
-34.975,151.14166,1971-07-07,"Bathynomus kapala","https://www.gbif.org/occurrence/1100749418","Dataset: NA",1,"Australia",NA,"orig_name: Bathynomus kapala Griffin, 1975 | basis: PRESERVED_SPECIMEN | institution: AM | catalog: P.17946","GBIF"
26.548333,-96.106667,1971-07-14,"Bathynomus giganteus","https://www.gbif.org/occurrence/1234574149","Dataset: NA",1,"NW Gulf of Mexico",937,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: TCWC | catalog: 2-6516","GBIF"
27.463333,-92.266667,1971-07-22,"Bathynomus giganteus","https://www.gbif.org/occurrence/1234574159","Dataset: NA",4,"NW Gulf of Mexico",992,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: TCWC | catalog: 2-6502","GBIF"
26.916667,-92.965,1971-07-24,"Bathynomus giganteus","https://www.gbif.org/occurrence/1234574724","Dataset: NA",1,"NW Gulf of Mexico",1225,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: TCWC | catalog: 2-6953","GBIF"
-33.625,151.942,1971-07-14,"Bathynomus kapala","https://www.gbif.org/occurrence/1317898185","Dataset: NMNH Extant Biology",1,"SE Of Broken Bay",549,"orig_name: Bathynomus kapala Griffin, 1975 | basis: PRESERVED_SPECIMEN | institution: USNM | catalog: USNM 150999","GBIF"
-34.975,151.142,1971-07-07,"Bathynomus kapala","https://www.gbif.org/occurrence/1322920907","Dataset: NMNH Extant Biology",1,"NE Of Jervis Bay",548.5,"orig_name: Bathynomus kapala Griffin, 1975 | basis: PRESERVED_SPECIMEN | institution: USNM | catalog: USNM 150998","GBIF"
19.005,-95.195,1971-08-12,"Bathynomus giganteus","https://www.gbif.org/occurrence/1234574102","Dataset: NA",1,"SW Gulf of Mexico",1123,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: TCWC | catalog: 2-6493","GBIF"
21.561667,-96.818333,1971-08-08,"Bathynomus giganteus","https://www.gbif.org/occurrence/1234574106","Dataset: NA",2,"SW Gulf of Mexico",1217,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: TCWC | catalog: 2-6505","GBIF"
19.005,-95.185,1971-08-12,"Bathynomus giganteus","https://www.gbif.org/occurrence/1234574118","Dataset: NA",1,"SW Gulf of Mexico",1123,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: TCWC | catalog: 2-6506","GBIF"
20.101667,-92.336667,1971-08-15,"Bathynomus giganteus","https://www.gbif.org/occurrence/1234574120","Dataset: NA",1,"SW Gulf of Mexico",1329,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: TCWC | catalog: 2-6495","GBIF"
19.005,-95.185,1971-08-12,"Bathynomus giganteus","https://www.gbif.org/occurrence/1234574123","Dataset: NA",2,"SW Gulf of Mexico",1123,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: TCWC | catalog: 2-6511","GBIF"
23.946667,-97.083333,1971-08-03,"Bathynomus giganteus","https://www.gbif.org/occurrence/1234574140","Dataset: NA",3,"SW Gulf of Mexico",677,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: TCWC | catalog: 2-6521","GBIF"
20.083333,-92.333333,1971-08-15,"Bathynomus giganteus","https://www.gbif.org/occurrence/1234574144","Dataset: NA",1,"SW Gulf of Mexico",1329,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: TCWC | catalog: 2-6503","GBIF"
23.911667,-96.998333,1971-08-04,"Bathynomus giganteus","https://www.gbif.org/occurrence/1234574152","Dataset: NA",1,"SW Gulf of Mexico",937,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: TCWC | catalog: 2-6517","GBIF"
19.93,-92.64,1971-08-14,"Bathynomus giganteus","https://www.gbif.org/occurrence/1234574713","Dataset: NA",3,"SW Gulf of Mexico",1003,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: TCWC | catalog: 2-6954","GBIF"
21.505,-96.195,1971-08-09,"Bathynomus giganteus","https://www.gbif.org/occurrence/1234574919","Dataset: NA",1,"SW Gulf of Mexico",2245,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: TCWC | catalog: 2-7447","GBIF"
23.901667,-97,1971-08-04,"Bathynomus giganteus","https://www.gbif.org/occurrence/1234574950","Dataset: NA",1,"SW Gulf of Mexico",937,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: TCWC | catalog: 2-7328","GBIF"
17.285,-79.843333,1970-07-26,"Bathynomus giganteus","https://www.gbif.org/occurrence/1234574134","Dataset: NA",1,"Caribbean Sea",1097,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: TCWC | catalog: 2-6507","GBIF"
12.666667,-72,1970-07-18,"Bathynomus giganteus","https://www.gbif.org/occurrence/1234574203","Dataset: NA",1,"Caribbean Sea",640.5,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: TCWC | catalog: 2-6523","GBIF"
15.083333,-81.166667,1970-07-13,"Bathynomus giganteus","https://www.gbif.org/occurrence/1234574710","Dataset: NA",3,"Caribbean Sea",535,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: TCWC | catalog: 2-6952","GBIF"
11.563333,-73.75,1970-07-17,"Bathynomus giganteus","https://www.gbif.org/occurrence/1234574941","Dataset: NA",4,"Caribbean",732,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: TCWC | catalog: 2-7333","GBIF"
16.716667,-82.633333,1970-07-12,"Bathynomus giganteus","https://www.gbif.org/occurrence/1234574960","Dataset: NA",1,"Caribbean Sea",521.5,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: TCWC | catalog: 2-7445","GBIF"
12.666667,-72,1970-07-18,"Bathynomus giganteus","https://www.gbif.org/occurrence/1234574981","Dataset: NA",2,"Caribbean Sea",640.5,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: TCWC | catalog: 2-7446","GBIF"
17.52,-77.82,1970-07-06,"Bathynomus giganteus","https://www.gbif.org/occurrence/1320027988","Dataset: NMNH Extant Biology",1,"Great Pedro Bluff, SW of",892,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: USNM | catalog: USNM 236064","GBIF"
